K,Generator Reconstruction Score All,Discriminator Reconstruction Score All,Generator Mean Diff Score All,Discriminator Mean Diff Score All,Generator Reconstruction Score Structural,Discriminator Reconstruction Score Structural,Generator Mean Diff Score Structural,Discriminator Mean Diff Score Structural,Generator Reconstruction Score Attribute,Discriminator Reconstruction Score Attribute,Generator Mean Diff Score Attribute,Discriminator Mean Diff Score Attribute
25,0.32,0.32,0.04,0.0,0.28,0.28,0.0,0.0,0.04,0.04,0.04,0.0
50,0.24,0.24,0.04,0.0,0.22,0.22,0.0,0.0,0.02,0.02,0.04,0.0
75,0.26666666666666666,0.26666666666666666,0.06666666666666667,0.0,0.2,0.2,0.0,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0
100,0.26,0.26,0.08,0.0,0.21,0.21,0.0,0.0,0.05,0.05,0.08,0.0
125,0.28,0.28,0.072,0.0,0.232,0.232,0.0,0.0,0.048,0.048,0.072,0.0
150,0.3,0.3,0.06666666666666667,0.0,0.26,0.26,0.006666666666666667,0.0,0.04,0.04,0.06,0.0
175,0.3028571428571429,0.3028571428571429,0.06857142857142857,0.0,0.2571428571428571,0.2571428571428571,0.011428571428571429,0.0,0.045714285714285714,0.045714285714285714,0.05714285714285714,0.0
200,0.295,0.295,0.075,0.0,0.24,0.24,0.01,0.0,0.055,0.055,0.065,0.0
225,0.29777777777777775,0.29777777777777775,0.07555555555555556,0.0,0.24888888888888888,0.24888888888888888,0.013333333333333334,0.0,0.04888888888888889,0.04888888888888889,0.06222222222222222,0.0
250,0.304,0.304,0.076,0.0,0.26,0.26,0.012,0.0,0.044,0.044,0.064,0.0
275,0.3018181818181818,0.3018181818181818,0.06909090909090909,0.0,0.2581818181818182,0.2581818181818182,0.01090909090909091,0.0,0.04363636363636364,0.04363636363636364,0.05818181818181818,0.0
300,0.31,0.31,0.07333333333333333,0.0,0.27,0.27,0.02,0.0,0.04,0.04,0.05333333333333334,0.0
325,0.30153846153846153,0.30153846153846153,0.07384615384615385,0.0,0.26153846153846155,0.26153846153846155,0.024615384615384615,0.0,0.04,0.04,0.04923076923076923,0.0
