K,Generator Reconstruction Score All,Discriminator Reconstruction Score All,Generator Mean Diff Score All,Discriminator Mean Diff Score All,Generator Reconstruction Score Structural,Discriminator Reconstruction Score Structural,Generator Mean Diff Score Structural,Discriminator Mean Diff Score Structural,Generator Reconstruction Score Attribute,Discriminator Reconstruction Score Attribute,Generator Mean Diff Score Attribute,Discriminator Mean Diff Score Attribute
25,0.024096385542168676,0.024096385542168676,0.0030120481927710845,0.0,0.043209876543209874,0.043209876543209874,0.0,0.0,0.0058823529411764705,0.0058823529411764705,0.0058823529411764705,0.0
50,0.03614457831325301,0.03614457831325301,0.006024096385542169,0.0,0.06790123456790123,0.06790123456790123,0.0,0.0,0.0058823529411764705,0.0058823529411764705,0.011764705882352941,0.0
75,0.060240963855421686,0.060240963855421686,0.015060240963855422,0.0,0.09259259259259259,0.09259259259259259,0.0,0.0,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.0
100,0.0783132530120482,0.0783132530120482,0.024096385542168676,0.0,0.12962962962962962,0.12962962962962962,0.0,0.0,0.029411764705882353,0.029411764705882353,0.047058823529411764,0.0
125,0.10542168674698796,0.10542168674698796,0.02710843373493976,0.0,0.17901234567901234,0.17901234567901234,0.0,0.0,0.03529411764705882,0.03529411764705882,0.052941176470588235,0.0
150,0.1355421686746988,0.1355421686746988,0.030120481927710843,0.0,0.24074074074074073,0.24074074074074073,0.006172839506172839,0.0,0.03529411764705882,0.03529411764705882,0.052941176470588235,0.0
175,0.15963855421686746,0.15963855421686746,0.03614457831325301,0.0,0.2777777777777778,0.2777777777777778,0.012345679012345678,0.0,0.047058823529411764,0.047058823529411764,0.058823529411764705,0.0
200,0.17771084337349397,0.17771084337349397,0.045180722891566265,0.0,0.2962962962962963,0.2962962962962963,0.012345679012345678,0.0,0.06470588235294118,0.06470588235294118,0.07647058823529412,0.0
225,0.20180722891566266,0.20180722891566266,0.05120481927710843,0.0,0.345679012345679,0.345679012345679,0.018518518518518517,0.0,0.06470588235294118,0.06470588235294118,0.08235294117647059,0.0
250,0.2289156626506024,0.2289156626506024,0.0572289156626506,0.0,0.4012345679012346,0.4012345679012346,0.018518518518518517,0.0,0.06470588235294118,0.06470588235294118,0.09411764705882353,0.0
275,0.25,0.25,0.0572289156626506,0.0,0.4382716049382716,0.4382716049382716,0.018518518518518517,0.0,0.07058823529411765,0.07058823529411765,0.09411764705882353,0.0
300,0.28012048192771083,0.28012048192771083,0.06626506024096386,0.0,0.5,0.5,0.037037037037037035,0.0,0.07058823529411765,0.07058823529411765,0.09411764705882353,0.0
325,0.29518072289156627,0.29518072289156627,0.07228915662650602,0.0,0.5246913580246914,0.5246913580246914,0.04938271604938271,0.0,0.07647058823529412,0.07647058823529412,0.09411764705882353,0.0
