,Generator Score,Discriminator Score
Reconstruction Score All,0.7190137635584724,0.7190137635584724
Reconstruction Score Structural,0.9233807406361754,0.9233807406361754
Reconstruction Score Attribute,0.5005780183838042,0.5005780183838042
Mean Diff Score All,0.5177756509585878,0.4658159389906723
Mean Diff Score Structural,0.5036908290984378,0.3781349990589121
Mean Diff Score Attribute,0.5294535611571646,0.5533919810522754
Mean Diff Score All Reverse,0.4822243490414122,0.5341840610093276
Mean Diff Score Structural Reverse,0.4963091709015622,0.6218650009410879
Mean Diff Score Attribute Reverse,0.4705464388428353,0.4466080189477245
Reconstruction Score All,0.717771093488895,0.717771093488895
Reconstruction Score Structural,0.9296272115565594,0.9296272115565594
Reconstruction Score Attribute,0.4922827496757458,0.4922827496757458
Mean Diff Score All,0.5236061738522773,0.4657323853796372
Mean Diff Score Structural,0.5213509316770186,0.4299271833239224
Mean Diff Score Attribute,0.5233434839000733,0.5035808943777139
Mean Diff Score All Reverse,0.4763938261477228,0.5342676146203628
Mean Diff Score Structural Reverse,0.4786490683229814,0.5700728166760776
Mean Diff Score Attribute Reverse,0.4766565160999267,0.4964191056222861
Reconstruction Score All,0.7208747303497098,0.7208747303497098
Reconstruction Score Structural,0.9255423019009976,0.9255423019009976
Reconstruction Score Attribute,0.5019596233011898,0.5019596233011898
Mean Diff Score All,0.5607313219700423,0.452189104609121
Mean Diff Score Structural,0.5662055335968379,0.4099261246000376
Mean Diff Score Attribute,0.5492443466982462,0.49762025601985
Mean Diff Score All Reverse,0.4392686780299578,0.547810895390879
Mean Diff Score Structural Reverse,0.433794466403162,0.5900738753999624
Mean Diff Score Attribute Reverse,0.4507556533017537,0.50237974398015
