K,Generator Reconstruction Score All,Discriminator Reconstruction Score All,Generator Mean Diff Score All,Discriminator Mean Diff Score All,Generator Reconstruction Score Structural,Discriminator Reconstruction Score Structural,Generator Mean Diff Score Structural,Discriminator Mean Diff Score Structural,Generator Reconstruction Score Attribute,Discriminator Reconstruction Score Attribute,Generator Mean Diff Score Attribute,Discriminator Mean Diff Score Attribute
25,0.12,0.12,0.2,0.0,0.04,0.04,0.08,0.0,0.08,0.08,0.12,0.0
50,0.14,0.14,0.12,0.0,0.1,0.1,0.04,0.0,0.04,0.04,0.08,0.0
75,0.24,0.24,0.14666666666666667,0.0,0.17333333333333334,0.17333333333333334,0.08,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0
100,0.28,0.28,0.16,0.0,0.2,0.2,0.08,0.0,0.08,0.08,0.08,0.0
125,0.304,0.304,0.152,0.056,0.24,0.24,0.08,0.0,0.064,0.064,0.072,0.056
150,0.34,0.34,0.14,0.05333333333333334,0.2733333333333333,0.2733333333333333,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.07333333333333333,0.05333333333333334
175,0.3657142857142857,0.3657142857142857,0.12571428571428572,0.05142857142857143,0.3028571428571429,0.3028571428571429,0.05714285714285714,0.0,0.06285714285714286,0.06285714285714286,0.06857142857142857,0.05142857142857143
200,0.375,0.375,0.12,0.055,0.31,0.31,0.055,0.0,0.065,0.065,0.065,0.055
225,0.37777777777777777,0.37777777777777777,0.11555555555555555,0.05333333333333334,0.3111111111111111,0.3111111111111111,0.05333333333333334,0.0,0.06666666666666667,0.06666666666666667,0.06222222222222222,0.05333333333333334
250,0.38,0.38,0.112,0.06,0.312,0.312,0.052,0.008,0.068,0.068,0.06,0.052
