K,Generator Reconstruction Score All,Discriminator Reconstruction Score All,Generator Mean Diff Score All,Discriminator Mean Diff Score All,Generator Reconstruction Score Structural,Discriminator Reconstruction Score Structural,Generator Mean Diff Score Structural,Discriminator Mean Diff Score Structural,Generator Reconstruction Score Attribute,Discriminator Reconstruction Score Attribute,Generator Mean Diff Score Attribute,Discriminator Mean Diff Score Attribute
25,0.018518518518518517,0.018518518518518517,0.007407407407407408,0.0,0.030303030303030304,0.030303030303030304,0.0,0.0,0.007246376811594203,0.007246376811594203,0.014492753623188406,0.0
50,0.03333333333333333,0.03333333333333333,0.022222222222222223,0.0,0.045454545454545456,0.045454545454545456,0.0,0.0,0.021739130434782608,0.021739130434782608,0.043478260869565216,0.0
75,0.05925925925925926,0.05925925925925926,0.037037037037037035,0.0,0.08333333333333333,0.08333333333333333,0.022727272727272728,0.0,0.036231884057971016,0.036231884057971016,0.050724637681159424,0.0
100,0.08518518518518518,0.08518518518518518,0.040740740740740744,0.0,0.12878787878787878,0.12878787878787878,0.022727272727272728,0.0,0.043478260869565216,0.043478260869565216,0.057971014492753624,0.0
125,0.12222222222222222,0.12222222222222222,0.05555555555555555,0.018518518518518517,0.20454545454545456,0.20454545454545456,0.03787878787878788,0.0,0.043478260869565216,0.043478260869565216,0.07246376811594203,0.036231884057971016
150,0.17037037037037037,0.17037037037037037,0.06296296296296296,0.025925925925925925,0.29545454545454547,0.29545454545454547,0.03787878787878788,0.0,0.050724637681159424,0.050724637681159424,0.08695652173913043,0.050724637681159424
175,0.1962962962962963,0.1962962962962963,0.07777777777777778,0.03333333333333333,0.3409090909090909,0.3409090909090909,0.06060606060606061,0.007575757575757576,0.057971014492753624,0.057971014492753624,0.09420289855072464,0.057971014492753624
200,0.24444444444444444,0.24444444444444444,0.1037037037037037,0.04814814814814815,0.42424242424242425,0.42424242424242425,0.08333333333333333,0.015151515151515152,0.07246376811594203,0.07246376811594203,0.12318840579710146,0.07971014492753623
225,0.2740740740740741,0.2740740740740741,0.1111111111111111,0.05185185185185185,0.4696969696969697,0.4696969696969697,0.09090909090909091,0.022727272727272728,0.08695652173913043,0.08695652173913043,0.13043478260869565,0.07971014492753623
250,0.3037037037037037,0.3037037037037037,0.11481481481481481,0.05925925925925926,0.5303030303030303,0.5303030303030303,0.09090909090909091,0.03787878787878788,0.08695652173913043,0.08695652173913043,0.13768115942028986,0.07971014492753623
