K,Reconstruction Score All,Mean Diff Score All,Reconstruction Score Structural,Mean Diff Score Structural,Reconstruction Score Attribute,Mean Diff Score Attribute
25,0.015060240963855422,0.0030120481927710845,0.024691358024691357,0.0,0.0058823529411764705,0.0058823529411764705
50,0.015060240963855422,0.009036144578313253,0.024691358024691357,0.006172839506172839,0.0058823529411764705,0.011764705882352941
75,0.015060240963855422,0.02108433734939759,0.024691358024691357,0.012345679012345678,0.0058823529411764705,0.029411764705882353
100,0.02108433734939759,0.02108433734939759,0.024691358024691357,0.012345679012345678,0.01764705882352941,0.029411764705882353
125,0.024096385542168676,0.03313253012048193,0.024691358024691357,0.018518518518518517,0.023529411764705882,0.047058823529411764
150,0.02710843373493976,0.045180722891566265,0.024691358024691357,0.030864197530864196,0.029411764705882353,0.058823529411764705
175,0.02710843373493976,0.04819277108433735,0.024691358024691357,0.030864197530864196,0.029411764705882353,0.06470588235294118
200,0.04216867469879518,0.04819277108433735,0.04938271604938271,0.030864197530864196,0.03529411764705882,0.06470588235294118
225,0.04216867469879518,0.05120481927710843,0.04938271604938271,0.030864197530864196,0.03529411764705882,0.07058823529411765
250,0.05421686746987952,0.05120481927710843,0.06172839506172839,0.030864197530864196,0.047058823529411764,0.07058823529411765
275,0.0572289156626506,0.05421686746987952,0.06790123456790123,0.030864197530864196,0.047058823529411764,0.07647058823529412
300,0.06626506024096386,0.060240963855421686,0.07407407407407407,0.043209876543209874,0.058823529411764705,0.07647058823529412
325,0.07530120481927711,0.060240963855421686,0.08641975308641975,0.043209876543209874,0.06470588235294118,0.07647058823529412
