K,Reconstruction Score All,Mean Diff Score All,Reconstruction Score Structural,Mean Diff Score Structural,Reconstruction Score Attribute,Mean Diff Score Attribute
25,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.02,0.0,0.0,0.0,0.02
75,0.02666666666666667,0.05333333333333334,0.02666666666666667,0.0,0.0,0.05333333333333334
100,0.06,0.06,0.03,0.02,0.03,0.04
125,0.08,0.056,0.04,0.024,0.04,0.032
150,0.08,0.06666666666666667,0.04,0.03333333333333333,0.04,0.03333333333333333
175,0.09142857142857143,0.06857142857142857,0.05142857142857143,0.03428571428571429,0.04,0.03428571428571429
200,0.085,0.075,0.05,0.04,0.035,0.035
225,0.08888888888888889,0.06666666666666667,0.05333333333333334,0.035555555555555556,0.035555555555555556,0.03111111111111111
250,0.096,0.076,0.056,0.048,0.04,0.028
275,0.09818181818181818,0.08727272727272728,0.05454545454545454,0.05090909090909091,0.04363636363636364,0.03636363636363636
300,0.09666666666666666,0.09,0.05333333333333334,0.05333333333333334,0.043333333333333335,0.03666666666666667
325,0.10461538461538461,0.09230769230769231,0.055384615384615386,0.055384615384615386,0.04923076923076923,0.036923076923076927
