K,Reconstruction Score All,Mean Diff Score All,Reconstruction Score Structural,Mean Diff Score Structural,Reconstruction Score Attribute,Mean Diff Score Attribute
25,0.16,0.04,0.12,0.04,0.04,0.0
50,0.16,0.08,0.1,0.06,0.06,0.02
75,0.12,0.08,0.08,0.04,0.04,0.04
100,0.15,0.11,0.08,0.04,0.07,0.07
125,0.12,0.104,0.064,0.048,0.056,0.056
150,0.12,0.12666666666666668,0.06666666666666667,0.08,0.05333333333333334,0.04666666666666667
175,0.13142857142857142,0.12571428571428572,0.07428571428571429,0.08571428571428572,0.05714285714285714,0.04
200,0.13,0.135,0.075,0.09,0.055,0.045
225,0.1288888888888889,0.13777777777777778,0.07555555555555556,0.08888888888888889,0.05333333333333334,0.04888888888888889
250,0.124,0.136,0.068,0.08,0.056,0.056
