K,Reconstruction Score All,Mean Diff Score All,Reconstruction Score Structural,Mean Diff Score Structural,Reconstruction Score Attribute,Mean Diff Score Attribute
25,0.12,0.04,0.12,0.04,0.0,0.0
50,0.1,0.12,0.06,0.08,0.04,0.04
75,0.10666666666666667,0.12,0.04,0.08,0.06666666666666667,0.04
100,0.13,0.11,0.05,0.06,0.08,0.05
125,0.128,0.128,0.064,0.072,0.064,0.056
150,0.12,0.12666666666666668,0.06,0.06666666666666667,0.06,0.06
175,0.10857142857142857,0.10857142857142857,0.05142857142857143,0.05714285714285714,0.05714285714285714,0.05142857142857143
200,0.11,0.11,0.05,0.06,0.06,0.05
225,0.10666666666666667,0.11555555555555555,0.04888888888888889,0.06222222222222222,0.057777777777777775,0.05333333333333334
250,0.108,0.12,0.044,0.06,0.064,0.06
275,0.10545454545454545,0.11636363636363636,0.04363636363636364,0.06181818181818182,0.06181818181818182,0.05454545454545454
300,0.1,0.12,0.04,0.06333333333333334,0.06,0.056666666666666664
325,0.09846153846153846,0.11384615384615385,0.04,0.05846153846153846,0.05846153846153846,0.055384615384615386
350,0.09714285714285714,0.11428571428571428,0.04,0.06,0.05714285714285714,0.054285714285714284
375,0.096,0.10933333333333334,0.037333333333333336,0.058666666666666666,0.058666666666666666,0.050666666666666665
400,0.1075,0.105,0.045,0.0575,0.0625,0.0475
425,0.11294117647058824,0.1011764705882353,0.04470588235294118,0.05647058823529412,0.06823529411764706,0.04470588235294118
450,0.11777777777777777,0.10444444444444445,0.051111111111111114,0.05333333333333334,0.06666666666666667,0.051111111111111114
475,0.11368421052631579,0.1031578947368421,0.04842105263157895,0.05263157894736842,0.06526315789473684,0.05052631578947368
500,0.118,0.102,0.054,0.052,0.064,0.05
525,0.11619047619047619,0.10285714285714286,0.05333333333333334,0.05333333333333334,0.06285714285714286,0.049523809523809526
550,0.11636363636363636,0.1,0.05272727272727273,0.05272727272727273,0.06363636363636363,0.04727272727272727
575,0.11304347826086956,0.09739130434782609,0.050434782608695654,0.05217391304347826,0.06260869565217392,0.04521739130434783
600,0.11,0.1,0.04833333333333333,0.051666666666666666,0.06166666666666667,0.04833333333333333
625,0.1056,0.104,0.0464,0.056,0.0592,0.048
650,0.1076923076923077,0.10461538461538461,0.046153846153846156,0.05692307692307692,0.06153846153846154,0.047692307692307694
675,0.10962962962962963,0.10666666666666667,0.05037037037037037,0.056296296296296296,0.05925925925925926,0.05037037037037037
700,0.10857142857142857,0.10428571428571429,0.05142857142857143,0.054285714285714284,0.05714285714285714,0.05
725,0.11310344827586206,0.10482758620689656,0.05379310344827586,0.05655172413793103,0.05931034482758621,0.04827586206896552
750,0.11066666666666666,0.10533333333333333,0.052,0.056,0.058666666666666666,0.04933333333333333
775,0.11096774193548387,0.1032258064516129,0.05290322580645161,0.05548387096774193,0.05806451612903226,0.04774193548387097
800,0.11,0.10625,0.05125,0.055,0.05875,0.05125
825,0.10909090909090909,0.10545454545454545,0.05090909090909091,0.055757575757575756,0.05818181818181818,0.0496969696969697
850,0.11176470588235295,0.10470588235294118,0.052941176470588235,0.05529411764705883,0.058823529411764705,0.04941176470588235
