K,Reconstruction Score All,Mean Diff Score All,Reconstruction Score Structural,Mean Diff Score Structural,Reconstruction Score Attribute,Mean Diff Score Attribute
25,0.0015228426395939086,0.0005076142131979696,0.003048780487804878,0.0010162601626016261,0.0,0.0
50,0.0025380710659898475,0.003045685279187817,0.003048780487804878,0.0040650406504065045,0.002028397565922921,0.002028397565922921
75,0.0040609137055837565,0.004568527918781726,0.003048780487804878,0.006097560975609756,0.005070993914807302,0.0030425963488843813
100,0.006598984771573604,0.005583756345177665,0.00508130081300813,0.006097560975609756,0.008113590263691683,0.005070993914807302
125,0.008121827411167513,0.008121827411167513,0.008130081300813009,0.009146341463414634,0.008113590263691683,0.007099391480730223
150,0.009137055837563452,0.009644670050761422,0.009146341463414634,0.01016260162601626,0.009127789046653144,0.009127789046653144
175,0.009644670050761422,0.009644670050761422,0.009146341463414634,0.01016260162601626,0.010141987829614604,0.009127789046653144
200,0.01116751269035533,0.01116751269035533,0.01016260162601626,0.012195121951219513,0.012170385395537525,0.010141987829614604
225,0.012182741116751269,0.013197969543147208,0.011178861788617886,0.014227642276422764,0.013184584178498986,0.012170385395537525
250,0.013705583756345178,0.015228426395939087,0.011178861788617886,0.01524390243902439,0.016227180527383367,0.015212981744421906
275,0.014720812182741117,0.016243654822335026,0.012195121951219513,0.017276422764227643,0.017241379310344827,0.015212981744421906
300,0.015228426395939087,0.018274111675126905,0.012195121951219513,0.019308943089430895,0.018255578093306288,0.017241379310344827
325,0.016243654822335026,0.018781725888324875,0.013211382113821139,0.019308943089430895,0.019269776876267748,0.018255578093306288
350,0.017258883248730966,0.02030456852791878,0.014227642276422764,0.021341463414634148,0.02028397565922921,0.019269776876267748
375,0.018274111675126905,0.02081218274111675,0.014227642276422764,0.022357723577235773,0.02231237322515213,0.019269776876267748
400,0.02182741116751269,0.02131979695431472,0.018292682926829267,0.023373983739837397,0.02535496957403651,0.019269776876267748
425,0.024365482233502538,0.02182741116751269,0.019308943089430895,0.024390243902439025,0.029411764705882353,0.019269776876267748
450,0.026903553299492386,0.023857868020304568,0.023373983739837397,0.024390243902439025,0.030425963488843813,0.02332657200811359
475,0.027411167512690356,0.024873096446700507,0.023373983739837397,0.02540650406504065,0.03144016227180527,0.02434077079107505
500,0.029949238578680204,0.025888324873096447,0.027439024390243903,0.026422764227642278,0.032454361054766734,0.02535496957403651
525,0.030964467005076143,0.027411167512690356,0.028455284552845527,0.028455284552845527,0.033468559837728194,0.02636916835699797
550,0.03248730964467005,0.027918781725888325,0.029471544715447155,0.029471544715447155,0.035496957403651115,0.02636916835699797
575,0.03299492385786802,0.028426395939086295,0.029471544715447155,0.03048780487804878,0.036511156186612576,0.02636916835699797
600,0.03350253807106599,0.030456852791878174,0.029471544715447155,0.031504065040650404,0.037525354969574036,0.029411764705882353
625,0.03350253807106599,0.03299492385786802,0.029471544715447155,0.03556910569105691,0.037525354969574036,0.030425963488843813
650,0.03553299492385787,0.03451776649746193,0.03048780487804878,0.037601626016260166,0.04056795131845842,0.03144016227180527
675,0.03756345177664975,0.03654822335025381,0.034552845528455285,0.03861788617886179,0.04056795131845842,0.034482758620689655
700,0.03857868020304569,0.03705583756345178,0.036585365853658534,0.03861788617886179,0.04056795131845842,0.035496957403651115
725,0.0416243654822335,0.03857868020304569,0.039634146341463415,0.041666666666666664,0.0436105476673428,0.035496957403651115
750,0.04213197969543147,0.04010152284263959,0.039634146341463415,0.042682926829268296,0.04462474645030426,0.037525354969574036
775,0.04365482233502538,0.04060913705583756,0.041666666666666664,0.04369918699186992,0.04563894523326572,0.037525354969574036
800,0.04467005076142132,0.04314720812182741,0.041666666666666664,0.044715447154471545,0.04766734279918864,0.04158215010141988
825,0.04568527918781726,0.04416243654822335,0.042682926829268296,0.046747967479674794,0.0486815415821501,0.04158215010141988
850,0.048223350253807105,0.04517766497461929,0.04573170731707317,0.047764227642276426,0.05070993914807302,0.04259634888438134
875,0.049238578680203045,0.047208121827411166,0.04573170731707317,0.04878048780487805,0.05273833671399594,0.04563894523326572
900,0.050761421319796954,0.049238578680203045,0.047764227642276426,0.0508130081300813,0.0537525354969574,0.04766734279918864
925,0.05228426395939086,0.051269035532994923,0.04878048780487805,0.052845528455284556,0.055780933062880324,0.04969574036511156
950,0.05279187817258883,0.05380710659898477,0.04878048780487805,0.052845528455284556,0.056795131845841784,0.05476673427991886
975,0.05431472081218274,0.05532994923857868,0.0508130081300813,0.05386178861788618,0.057809330628803245,0.056795131845841784
1000,0.05583756345177665,0.05888324873096447,0.0508130081300813,0.054878048780487805,0.060851926977687626,0.06288032454361055
1025,0.05634517766497462,0.05939086294416244,0.0508130081300813,0.054878048780487805,0.061866125760649086,0.06389452332657201
1050,0.05736040609137056,0.06091370558375635,0.052845528455284556,0.056910569105691054,0.061866125760649086,0.06490872210953347
1075,0.05736040609137056,0.06142131979695432,0.052845528455284556,0.057926829268292686,0.061866125760649086,0.06490872210953347
1100,0.05888324873096447,0.06446700507614213,0.05386178861788618,0.061991869918699184,0.06389452332657201,0.06693711967545639
1125,0.06091370558375635,0.06598984771573604,0.05589430894308943,0.06504065040650407,0.06592292089249494,0.06693711967545639
1150,0.06142131979695432,0.066497461928934,0.05589430894308943,0.06605691056910569,0.06693711967545639,0.06693711967545639
1175,0.06192893401015229,0.06751269035532995,0.056910569105691054,0.06707317073170732,0.06693711967545639,0.06795131845841786
1200,0.06294416243654823,0.06802030456852792,0.056910569105691054,0.06808943089430894,0.06896551724137931,0.06795131845841786
1225,0.06395939086294417,0.06954314720812182,0.056910569105691054,0.0701219512195122,0.07099391480730223,0.06896551724137931
1250,0.06446700507614213,0.07106598984771574,0.056910569105691054,0.07113821138211382,0.0720081135902637,0.07099391480730223
1275,0.06446700507614213,0.07208121827411168,0.056910569105691054,0.07215447154471545,0.0720081135902637,0.0720081135902637
1300,0.06446700507614213,0.07309644670050762,0.056910569105691054,0.07317073170731707,0.0720081135902637,0.07302231237322515
1325,0.0649746192893401,0.07461928934010152,0.056910569105691054,0.0741869918699187,0.07302231237322515,0.07505070993914807
1350,0.06598984771573604,0.07614213197969544,0.057926829268292686,0.07520325203252033,0.07403651115618662,0.07707910750507099
1375,0.06751269035532995,0.07766497461928934,0.059959349593495935,0.0782520325203252,0.07505070993914807,0.07707910750507099
1400,0.06852791878172589,0.07868020304568528,0.06097560975609756,0.07926829268292683,0.07606490872210954,0.07809330628803246
1425,0.06903553299492386,0.08020304568527918,0.061991869918699184,0.08028455284552846,0.07606490872210954,0.08012170385395538
1450,0.07106598984771574,0.08020304568527918,0.06402439024390244,0.08028455284552846,0.07809330628803246,0.08012170385395538
1475,0.07258883248730964,0.08121827411167512,0.06504065040650407,0.08028455284552846,0.08012170385395538,0.0821501014198783
1500,0.07360406091370558,0.08223350253807106,0.06707317073170732,0.08028455284552846,0.08012170385395538,0.08417849898580122
1525,0.07360406091370558,0.08223350253807106,0.06707317073170732,0.08028455284552846,0.08012170385395538,0.08417849898580122
1550,0.07411167512690356,0.08274111675126904,0.06808943089430894,0.08130081300813008,0.08012170385395538,0.08417849898580122
1575,0.0751269035532995,0.08426395939086294,0.0701219512195122,0.08130081300813008,0.08012170385395538,0.0872210953346856
1600,0.0766497461928934,0.08629441624365482,0.07215447154471545,0.08231707317073171,0.08113590263691683,0.09026369168356999
1625,0.07766497461928934,0.08730964467005076,0.07215447154471545,0.08333333333333333,0.08316430020283976,0.09127789046653144
1650,0.07868020304568528,0.0883248730964467,0.07317073170731707,0.08434959349593496,0.08417849898580122,0.0922920892494929
1675,0.07918781725888324,0.08984771573604061,0.07317073170731707,0.08638211382113821,0.08519269776876268,0.09330628803245436
1700,0.08071065989847716,0.09137055837563451,0.0741869918699187,0.08739837398373984,0.0872210953346856,0.09533468559837728
1725,0.0817258883248731,0.09187817258883249,0.0741869918699187,0.08739837398373984,0.08924949290060852,0.09634888438133875
1750,0.0817258883248731,0.09441624365482233,0.0741869918699187,0.09044715447154472,0.08924949290060852,0.09837728194726167
1775,0.08223350253807106,0.09695431472081219,0.0741869918699187,0.09247967479674797,0.09026369168356999,0.10141987829614604
1800,0.08274111675126904,0.09746192893401015,0.07520325203252033,0.09349593495934959,0.09026369168356999,0.10141987829614604
1825,0.08375634517766498,0.09949238578680203,0.07621951219512195,0.09552845528455285,0.09127789046653144,0.10344827586206896
1850,0.08527918781725888,0.1,0.07723577235772358,0.09552845528455285,0.09330628803245436,0.10446247464503043
1875,0.08629441624365482,0.10304568527918782,0.07926829268292683,0.0975609756097561,0.09330628803245436,0.10851926977687627
1900,0.08730964467005076,0.10355329949238579,0.08028455284552846,0.09857723577235772,0.09432048681541583,0.10851926977687627
1925,0.08934010152284264,0.10456852791878173,0.08333333333333333,0.09959349593495935,0.09533468559837728,0.10953346855983773
1950,0.09035532994923857,0.1065989847715736,0.08536585365853659,0.09959349593495935,0.09533468559837728,0.11359026369168357
